ID,Date,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude
11674701,5/3/2019 11:55,025XX W TOUHY AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2411,24,50,2,1158164,1947690,2019,42.01221162,-87.69338219
11674703,5/3/2019 11:47,052XX S LAKE PARK AVE,THEFT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,234,2,4,41,1187635,1870759,2019,41.80045567,-87.58740752
11872075,10/24/2019 22:00,002XX E ILLINOIS ST,THEFT,RESIDENCE-GARAGE,FALSE,FALSE,1834,18,42,8,1177800,1903658,2019,41.8909614,-87.62247652
12246133,12/13/2020 13:00,046XX W JACKSON BLVD,BATTERY,APARTMENT,FALSE,TRUE,1131,11,28,25,1145393,1898284,2020,41.87688958,-87.74162801
11674708,5/2/2019 11:00,035XX E 118TH ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,433,4,10,55,1201414,1827331,2019,41.68094707,-87.53834807
11674709,5/3/2019 10:30,079XX S MANISTEE AVE,BATTERY,RESIDENCE,TRUE,TRUE,422,4,7,46,1195888,1852884,2019,41.75120502,-87.55773301
11871595,10/24/2019 20:20,053XX W HIRSCH ST,BATTERY,APARTMENT,FALSE,TRUE,2532,25,37,25,1140602,1908801,2019,41.9058388,-87.75896085
11674721,5/2/2019 18:35,107XX S BENSLEY AVE,BATTERY,APARTMENT,FALSE,TRUE,434,4,7,51,1194568,1834110,2019,41.69972,-87.56318556
11674724,3/31/2019 1:00,0000X W ELM ST,THEFT,BAR OR TAVERN,FALSE,FALSE,1824,18,2,8,1175930,1908090,2019,41.90316534,-87.62921044
11674728,5/1/2019 11:51,096XX S HALSTED ST,BATTERY,RESIDENCE,FALSE,FALSE,2223,22,21,73,1172680,1840807,2019,41.71860671,-87.64313312
11674729,5/3/2019 10:25,001XX N WESTERN AVE,BATTERY,CTA BUS,FALSE,FALSE,1222,12,27,28,1160392,1900695,2019,41.88320862,-87.6864893
11674732,5/3/2019 12:00,016XX S ST LOUIS AVE,BATTERY,RESIDENCE,FALSE,FALSE,1021,10,24,29,1153304,1891654,2019,41.85854279,-87.71275698
11674734,5/3/2019 9:35,011XX N LAWNDALE AVE,BATTERY,APARTMENT,TRUE,TRUE,1112,11,27,23,1151500,1907389,2019,41.90175692,-87.71896541
11674739,4/30/2019 20:52,020XX W PIERCE AVE,THEFT,STREET,FALSE,FALSE,1424,14,1,24,1162429,1910236,2019,41.9093475,-87.67874201
11674743,4/15/2019 16:00,009XX E 47TH ST,THEFT,STREET,FALSE,FALSE,222,2,4,39,1183500,1874048,2019,41.80957841,-87.60246909
