YEAR,MONTH,PROVINCE,DISTRICT,TYPE OF LOCALITY,LATITUDE,LONGITUDE,SEX,AGE,CENSUS,CASES,DEATHS
2012,SEP,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.54701,28.6922,FEMALE,ADULT,1472,1,0
2012,DEC,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.55996,28.57358,MALE,ADULT,1595,1,0
2012,MAY,MASHONALAND WEST,CHEGUTU,COMMERCIAL,-32.04505393,23.67392346,ALL,ALL,327,3,0
2012,JUL,MIDLANDS,GOKWE SOUTH,COMMUNAL,-17.63026189,28.78138037,MALE,ADULT,2690,1,0
2012,OCT,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.03221,28.60124,MALE,ADULT,998,2,0
2012,DEC,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.02081,28.79833,FEMALE,ADULT,3300,1,0
2012,DEC,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.14869,28.77596,MALE,ADULT,3302,2,0
2012,APR,MASHONALAND WEST,HURUNGWE,COMMUNAL,-17.4973,29.39211,ALL,ALL,2011,1,
2012,APR,MATEBELELAND NORTH,LUPANE,COMMUNAL,-18.61333333,27.58833333,ALL,ALL,1463,12,5
2012,APR,MASHONALAND EAST,MARONDERA,COMMUNAL,-18.11921387,31.33189699,MALE,ADULT,63,3,0
2012,SEP,MIDLANDS,GOKWE SOUTH,COMMUNAL,-17.86647,28.54633,MALE,ADULT,2966,2,0
2012,OCT,MIDLANDS,GOKWE SOUTH,COMMUNAL,-17.98931,28.53014,MALE,ADULT,1452,1,0
2012,DEC,MIDLANDS,GOKWE SOUTH,COMMUNAL,-17.47462,28.36527,FEMALE,ADULT,4044,1,0
2012,DEC,MIDLANDS,GOKWE SOUTH,COMMUNAL,-17.81861,28.63129,FEMALE,ADULT,4044,1,0
2012,MAR,MIDLANDS,GOKWE SOUTH,COMMUNAL,-17.81310841,28.53038651,FEMALE,ADULT,3170,1,0
2012,FEB,MIDLANDS,MBERENGWA,COMMUNAL,-20.90987,29.65286,ALL,ADULT,1819,2,0
2012,JUL,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.4289,29.38724,MALE,ADULT,2301,2,0
2012,MAR,MIDLANDS,GOKWE NORTH,COMMUNAL,-18.02587372,28.98366242,FEMALE,ADULT,1914,2,0
2012,MAR,MATEBELELAND NORTH,BUBI,COMMUNAL,-19.79330287,29.25839564,ALL,ADULT,1500,5,0
2012,MAR,MATEBELELAND NORTH,BUBI,COMMUNAL,-19.79330287,29.25839564,FEMALE,ADULT,1500,1,0
2012,MAR,MASHONALAND EAST,HWEDZA,COMMUNAL,-18.2486451,31.71079974,MALE,ADULT,5,1,0
2012,OCT,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.46297,29.05622,FEMALE,ADULT,1066,1,0
2012,OCT,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.87218,29.0184,FEMALE,JUVENILE,1606,1,0
2012,OCT,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.93975,29.02905,MALE,ADULT,1412,1,0
2012,OCT,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.91746,29.07137,ALL,ADULT,2441,3,0
2012,DEC,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.91746,29.07137,ALL,ADULT,2443,2,0
2012,SEP,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.50777189,29.27265038,MALE,ADULT,474,4,0
2012,OCT,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.50777189,29.27265038,FEMALE,ADULT,458,3,0
2012,DEC,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.579361,29.27204,MALE,ADULT,462,4,0
2012,APR,MASHONALAND CENTRAL,SHAMVA,RESETTLEMENT,-17.17049,31.54428,ALL,ALL,,8,0
2012,FEB,MIDLANDS,MBERENGWA,COMMUNAL,-20.36027,30.16219,FEMALE,ADULT,4082,1,0
2012,MAR,MASHONALAND WEST,ZVIMBA,COMMUNAL,-18.0746,30.5437,MALE,ADULT,7,1,
2012,APR,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.25681,29.2325,MALE,ADULT,7764,2,0
2012,SEP,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.68615,29.08149,FEMALE,ADULT,661,1,0
2012,FEB,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.35898,30.18672,ALL,ADULT,639,3,0
2012,JAN,MASHONALAND CENTRAL,GURUVE,RESETTLEMENT,-16.170822,30.64902,FEMALE,ADULT,1,4,0
2012,JAN,MIDLANDS,SHURUGWI,COMMUNAL,-19.99468834,30.28892117,ALL,ADULT,978,2,0
2012,MAY,MASHONALAND CENTRAL,MT DARWIN,COMMUNAL,-16.76205,31.42659,ALL,ALL,1712,32,0
2014,JAN,MASHONALAND CENTRAL,MT DARWIN,COMMUNAL,-16.76205,31.42659,ALL,ALL,1722,36,0
2014,FEB,MASHONALAND CENTRAL,MT DARWIN,COMMUNAL,-16.84254,31.3757,ALL,ADULT,872,7,0
2014,FEB,MASHONALAND CENTRAL,MT DARWIN,COMMUNAL,-16.75572,31.65978,FEMALE,ADULT,1877,1,0
2012,JUN,MASHONALAND CENTRAL,SHAMVA,COMMUNAL,-16.93417,31.65747,FEMALE,ADULT,1025,1,0
2012,JUL,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.02876,31.20806,ALL,ALL,2727,3,0
2012,SEP,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.07448,31.31452,MALE,ADULT,2337,1,0
2012,NOV,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.1753,31.39253,MALE,ADULT,950,1,0
2012,JUN,MASHONALAND CENTRAL,SHAMVA,COMMUNAL,-16.93417,31.65747,MALE,ADULT,1025,1,0
2012,JUN,MASHONALAND CENTRAL,MAZOWE,COMMUNAL,-17.30026,31.01901,FEMALE,ADULT,538,1,0
2012,JUL,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.23515,31.11753,ALL,ALL,1560,4,0
2012,JUL,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.64203,31.15146,FEMALE,ADULT,88,2,0
2012,AUG,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.23536,30.59157,ALL,ALL,345,10,0
2012,DEC,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.40412,30.10063,FEMALE,ADULT,2696,2,0
2012,DEC,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.40412,30.10063,FEMALE,ADULT,2696,2,0
2014,JAN,MASHONALAND CENTRAL,CENTENARY,COMMUNAL,-16.25176,30.96064,ALL,ALL,2347,4,0
2012,MAR,MATEBELELAND NORTH,BINGA,COMMUNAL,-17.54760395,27.34862178,FEMALE,ADULT,852,4,0
2012,MAR,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.51118,28.51075,MALE,ADULT,3778,1,0
2012,MAR,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.51118,28.51075,FEMALE,ADULT,3778,1,1
